symbol,name,isin,exchange,series,sector,industry,tags
360ONE,360 ONE WAM LIMITED,INE466L01038,NSE,EQ,,Stockbroking & Allied,nifty500|midcap
3MINDIA,3M India Limited,INE470A01017,NSE,EQ,,Diversified,nifty500|midcap
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,NSE,EQ,,Housing Finance Company,nifty500|midcap
AARTIIND,Aarti Industries Limited,INE769A01020,NSE,EQ,,Specialty Chemicals,nifty500|midcap
AAVAS,Aavas Financiers Limited,INE216P01012,NSE,EQ,,Housing Finance Company,nifty500|midcap
ABB,ABB India Limited,INE117A01022,NSE,EQ,,Heavy Electrical Equipment,nifty100|nifty500|largecap
ABBOTINDIA,Abbott India Limited,INE358A01014,NSE,EQ,,Pharmaceuticals,nifty500|midcap
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,NSE,EQ,,Investment Company,nifty500|midcap
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,NSE,EQ,,Breweries & Distilleries,nifty500|midcap
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,NSE,EQ,,Speciality Retail,nifty500|midcap
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,NSE,EQ,,Speciality Retail,nifty500|midcap
ABREL,Aditya Birla Real Estate Limited,INE055A01016,NSE,EQ,,Residential Commercial Projects,nifty500|midcap
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,NSE,EQ,,Asset Management Company,nifty500|midcap
ACC,ACC Limited,INE012A01025,NSE,EQ,,Cement & Cement Products,nifty500|midcap
ACE,Action Construction Equipment Limited,INE731H01025,NSE,EQ,,Construction Vehicles,nifty500|midcap
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,NSE,EQ,,Power Generation,nifty500|midcap
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,NSE,EQ,,Pharmaceuticals,nifty500|midcap
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,NSE,EQ,,Power Distribution,nifty100|nifty500|largecap
ADANIENT,Adani Enterprises Limited,INE423A01024,NSE,EQ,,Trading - Minerals,nifty50|nifty100|nifty500|largecap
ADANIGREEN,Adani Green Energy Limited,INE364U01010,NSE,EQ,,Power Generation,nifty100|nifty500|largecap
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,NSE,EQ,,Port & Port services,nifty50|nifty100|nifty500|largecap
ADANIPOWER,Adani Power Limited,INE814H01029,NSE,EQ,,Integrated Power Utilities,nifty100|nifty500|largecap
AEGISLOG,Aegis Logistics Limited,INE208C01025,NSE,EQ,,Trading - Gas,nifty500|midcap
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,NSE,EQ,,Oil Storage & Transportation,nifty500|midcap
AFCONS,Afcons Infrastructure Limited,INE101I01011,NSE,EQ,,Civil Construction,nifty500|midcap
AFFLE,Affle 3i Limited,INE00WC01027,NSE,EQ,,IT Enabled Services,nifty500|midcap
AIAENG,AIA Engineering Limited,INE212H01026,NSE,EQ,,Castings & Forgings,nifty500|midcap
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|midcap
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,NSE,EQ,,Pharmaceuticals,nifty500|midcap
AKZOINDIA,Akzo Nobel India Limited,INE133A01011,NSE,EQ,,Paints,nifty500|midcap
ALKEM,Alkem Laboratories Limited,INE540L01014,NSE,EQ,,Pharmaceuticals,nifty500|midcap
AMBER,Amber Enterprises India Limited,INE371P01015,NSE,EQ,,Household Appliances,nifty500|midcap
AMBUJACEM,Ambuja Cements Limited,INE079A01024,NSE,EQ,,Cement & Cement Products,nifty100|nifty500|largecap
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,NSE,EQ,,Financial Products Distributor,nifty500|midcap
ANANTRAJ,Anant Raj Limited,INE242C01024,NSE,EQ,,Residential Commercial Projects,nifty500|midcap
ANGELONE,Angel One Limited,INE732I01021,NSE,EQ,,Stockbroking & Allied,nifty500|midcap
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,NSE,EQ,,Biotechnology,nifty500|midcap
ANURAS,Anupam Rasayan India Limited,INE930P01018,NSE,EQ,,Specialty Chemicals,nifty500|midcap
APARINDS,Apar Industries Limited,INE372A01015,NSE,EQ,,Other Electrical Equipment,nifty500|midcap
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,NSE,EQ,,Iron & Steel Products,nifty500|midcap
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,NSE,EQ,,Hospital,nifty50|nifty100|nifty500|largecap
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,NSE,EQ,,Tyres & Rubber Products,nifty500|midcap
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,NSE,EQ,,Housing Finance Company,nifty500|midcap
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
ASHOKLEY,Ashok Leyland Limited,INE208A01029,NSE,EQ,,Commercial Vehicles,nifty500|midcap
ASIANPAINT,Asian Paints Limited,INE021A01026,NSE,EQ,,Paints,nifty50|nifty100|nifty500|largecap
ASTERDM,Aster DM Healthcare Limited,INE914M01019,NSE,EQ,,Hospital,nifty500|midcap
ASTRAL,Astral Limited,INE006I01046,NSE,EQ,,Plastic Products - Industrial,nifty500|midcap
ATGL,Adani Total Gas Limited,INE399L01023,NSE,EQ,,LPG/CNG/PNG/LNG Supplier,nifty500|midcap
ATHERENERG,Ather Energy Limited,INE0LEZ01016,NSE,EQ,,2/3 Wheelers,nifty500|midcap
ATUL,Atul Limited,INE100A01010,NSE,EQ,,Specialty Chemicals,nifty500|midcap
AUBANK,AU Small Finance Bank Limited,INE949L01017,NSE,EQ,,Other Bank,nifty500|midcap
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,NSE,EQ,,Pharmaceuticals,nifty500|midcap
AWL,AWL Agri Business Limited,INE699H01024,NSE,EQ,,Edible Oil,nifty500|midcap
AXISBANK,Axis Bank Limited,INE238A01034,NSE,EQ,,Private Sector Bank,nifty50|nifty100|nifty500|largecap
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,NSE,EQ,,2/3 Wheelers,nifty50|nifty100|nifty500|largecap
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,NSE,EQ,,Holding Company,nifty50|nifty100|nifty500|largecap
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,NSE,EQ,,Housing Finance Company,nifty500|midcap
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,NSE,EQ,,Holding Company,nifty100|nifty500|largecap
BAJFINANCE,Bajaj Finance Limited,INE296A01032,NSE,EQ,,Non Banking Financial Company (NBFC),nifty50|nifty100|nifty500|largecap
BALKRISIND,Balkrishna Industries Limited,INE787D01026,NSE,EQ,,Tyres & Rubber Products,nifty500|midcap
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,NSE,EQ,,Sugar,nifty500|midcap
BANDHANBNK,Bandhan Bank Limited,INE545U01014,NSE,EQ,,Private Sector Bank,nifty500|midcap
BANKBARODA,Bank of Baroda,INE028A01039,NSE,EQ,,Public Sector Bank,nifty100|nifty500|largecap
BANKINDIA,Bank of India,INE084A01016,NSE,EQ,,Public Sector Bank,nifty500|midcap
BATAINDIA,Bata India Limited,INE176A01028,NSE,EQ,,Footwear,nifty500|midcap
BAYERCROP,Bayer Cropscience Limited,INE462A01022,NSE,EQ,,Pesticides & Agrochemicals,nifty500|midcap
BBTC,The Bombay Burmah Trading Corporation Limited,INE050A01025,NSE,EQ,,Packaged Foods,nifty500|midcap
BDL,Bharat Dynamics Limited,INE171Z01026,NSE,EQ,,Aerospace & Defense,nifty500|midcap
BEL,Bharat Electronics Limited,INE263A01024,NSE,EQ,,Aerospace & Defense,nifty50|nifty100|nifty500|largecap
BELRISE,Belrise Industries Limited,INE894V01022,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
BEML,BEML Limited,INE258A01024,NSE,EQ,,Construction Vehicles,nifty500|midcap
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,NSE,EQ,,Paints,nifty500|midcap
BHARATFORG,Bharat Forge Limited,INE465A01025,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
BHARTIARTL,Bharti Airtel Limited,INE397D01024,NSE,EQ,,Telecom - Cellular & Fixed line services,nifty50|nifty100|nifty500|largecap
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,NSE,EQ,,Telecom - Cellular & Fixed line services,nifty500|midcap
BHEL,Bharat Heavy Electricals Limited,INE257A01026,NSE,EQ,,Heavy Electrical Equipment,nifty500|midcap
BIKAJI,Bikaji Foods International Limited,INE00E101023,NSE,EQ,,Packaged Foods,nifty500|midcap
BIOCON,Biocon Limited,INE376G01013,NSE,EQ,,Pharmaceuticals,nifty500|midcap
BLS,BLS International Services Limited,INE153T01027,NSE,EQ,,Tour Travel Related Services,nifty500|midcap
BLUEDART,Blue Dart Express Limited,INE233B01017,NSE,EQ,,Logistics Solution Provider,nifty500|midcap
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,NSE,EQ,,Pharmaceuticals,nifty500|midcap
BLUESTARCO,Blue Star Limited,INE472A01039,NSE,EQ,,Household Appliances,nifty500|midcap
BOSCHLTD,Bosch Limited,INE323A01026,NSE,EQ,,Auto Components & Equipments,nifty100|nifty500|largecap
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,NSE,EQ,,Refineries & Marketing,nifty100|nifty500|largecap
BRIGADE,Brigade Enterprises Limited,INE791I01019,NSE,EQ,,Residential Commercial Projects,nifty500|midcap
BRITANNIA,Britannia Industries Limited,INE216A01030,NSE,EQ,,Packaged Foods,nifty100|nifty500|largecap
BSE,BSE Limited,INE118H01025,NSE,EQ,,Exchange and Data Platform,nifty500|midcap
BSOFT,BIRLASOFT LIMITED,INE836A01035,NSE,EQ,,Computers - Software & Consulting,nifty500|midcap
CAMS,Computer Age Management Services Limited,INE596I01020,NSE,EQ,,Depositories Clearing Houses and Other Intermediaries,nifty500|midcap
CANBK,Canara Bank,INE476A01022,NSE,EQ,,Public Sector Bank,nifty100|nifty500|largecap
