symbol,name,isin,exchange,series,sector,industry,tags
360ONE,360 ONE WAM LIMITED,INE466L01038,NSE,EQ,,Stockbroking & Allied,nifty500|niftymidcap150|midcap
3MINDIA,3M India Limited,INE470A01017,NSE,EQ,,Diversified,nifty500|niftymidcap150|midcap
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,NSE,EQ,,Housing Finance Company,nifty500|niftysmallcap250|midcap
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,NSE,EQ,,Pharmaceuticals,niftymicrocap250|smallcap
AARTIIND,Aarti Industries Limited,INE769A01020,NSE,EQ,,Specialty Chemicals,nifty500|niftysmallcap250|midcap
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,NSE,EQ,,Pharmaceuticals,niftymicrocap250|smallcap
AAVAS,Aavas Financiers Limited,INE216P01012,NSE,EQ,,Housing Finance Company,nifty500|niftysmallcap250|midcap
ABB,ABB India Limited,INE117A01022,NSE,EQ,,Heavy Electrical Equipment,nifty100|nifty500|largecap
ABBOTINDIA,Abbott India Limited,INE358A01014,NSE,EQ,,Pharmaceuticals,nifty500|niftymidcap150|midcap
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,NSE,EQ,,Investment Company,nifty500|niftymidcap150|midcap
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,NSE,EQ,,Breweries & Distilleries,nifty500|niftysmallcap250|midcap
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,NSE,EQ,,Speciality Retail,nifty500|niftysmallcap250|midcap
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,NSE,EQ,,Speciality Retail,nifty500|niftysmallcap250|midcap
ABREL,Aditya Birla Real Estate Limited,INE055A01016,NSE,EQ,,Residential Commercial Projects,nifty500|niftysmallcap250|midcap
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,NSE,EQ,,Asset Management Company,nifty500|niftysmallcap250|midcap
ACC,ACC Limited,INE012A01025,NSE,EQ,,Cement & Cement Products,nifty500|niftymidcap150|midcap
ACE,Action Construction Equipment Limited,INE731H01025,NSE,EQ,,Construction Vehicles,nifty500|niftysmallcap250|midcap
ACI,Archean Chemical Industries Limited,INE128X01021,NSE,EQ,,Specialty Chemicals,niftymicrocap250|smallcap
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,NSE,EQ,,Power Generation,nifty500|niftysmallcap250|midcap
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,NSE,EQ,,Pharmaceuticals,nifty500|niftysmallcap250|midcap
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,NSE,EQ,,Power Distribution,nifty100|nifty500|largecap
ADANIENT,Adani Enterprises Limited,INE423A01024,NSE,EQ,,Trading - Minerals,nifty50|nifty100|nifty500|largecap
ADANIGREEN,Adani Green Energy Limited,INE364U01010,NSE,EQ,,Power Generation,nifty100|nifty500|largecap
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,NSE,EQ,,Port & Port services,nifty50|nifty100|nifty500|largecap
ADANIPOWER,Adani Power Limited,INE814H01029,NSE,EQ,,Integrated Power Utilities,nifty100|nifty500|largecap
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,NSE,EQ,,Biotechnology,niftymicrocap250|smallcap
AEGISLOG,Aegis Logistics Limited,INE208C01025,NSE,EQ,,Trading - Gas,nifty500|niftysmallcap250|midcap
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,NSE,EQ,,Oil Storage & Transportation,nifty500|niftysmallcap250|midcap
AEQUS,Aequs Limited,INE947N01017,NSE,EQ,,Aerospace & Defense,niftymicrocap250|smallcap
AETHER,Aether Industries Limited,INE0BWX01014,NSE,EQ,,Specialty Chemicals,niftymicrocap250|smallcap
AFCONS,Afcons Infrastructure Limited,INE101I01011,NSE,EQ,,Civil Construction,nifty500|niftysmallcap250|midcap
AFFLE,Affle 3i Limited,INE00WC01027,NSE,EQ,,IT Enabled Services,nifty500|niftysmallcap250|midcap
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,NSE,EQ,,Hospital,niftymicrocap250|smallcap
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,NSE,EQ,,Civil Construction,niftymicrocap250|smallcap
AIAENG,AIA Engineering Limited,INE212H01026,NSE,EQ,,Castings & Forgings,nifty500|niftymidcap150|midcap
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|niftymidcap150|midcap
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,NSE,EQ,,Pharmaceuticals,nifty500|niftymidcap150|midcap
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,NSE,EQ,,Pharmaceuticals,niftymicrocap250|smallcap
AKZOINDIA,Akzo Nobel India Limited,INE133A01011,NSE,EQ,,Paints,nifty500|niftysmallcap250|midcap
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,NSE,EQ,,Pharmaceuticals,niftymicrocap250|smallcap
ALKEM,Alkem Laboratories Limited,INE540L01014,NSE,EQ,,Pharmaceuticals,nifty500|niftymidcap150|midcap
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,NSE,EQ,,Specialty Chemicals,niftymicrocap250|smallcap
ALOKINDS,Alok Industries Limited,INE270A01029,NSE,EQ,,Other Textile Products,niftymicrocap250|smallcap
AMBER,Amber Enterprises India Limited,INE371P01015,NSE,EQ,,Household Appliances,nifty500|niftysmallcap250|midcap
AMBUJACEM,Ambuja Cements Limited,INE079A01024,NSE,EQ,,Cement & Cement Products,nifty100|nifty500|largecap
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,NSE,EQ,,Financial Products Distributor,nifty500|niftysmallcap250|midcap
ANANTRAJ,Anant Raj Limited,INE242C01024,NSE,EQ,,Residential Commercial Projects,nifty500|niftysmallcap250|midcap
ANGELONE,Angel One Limited,INE732I01021,NSE,EQ,,Stockbroking & Allied,nifty500|niftysmallcap250|midcap
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,NSE,EQ,,Biotechnology,nifty500|niftymidcap150|midcap
ANUP,The Anup Engineering Limited,INE294Z01018,NSE,EQ,,Industrial Products,niftymicrocap250|smallcap
ANURAS,Anupam Rasayan India Limited,INE930P01018,NSE,EQ,,Specialty Chemicals,nifty500|niftysmallcap250|midcap
APARINDS,Apar Industries Limited,INE372A01015,NSE,EQ,,Other Electrical Equipment,nifty500|niftymidcap150|midcap
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,NSE,EQ,,Iron & Steel Products,nifty500|niftymidcap150|midcap
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,NSE,EQ,,Pharmaceuticals,niftymicrocap250|smallcap
APOLLO,Apollo Micro Systems Limited,INE713T01028,NSE,EQ,,Aerospace & Defense,niftymicrocap250|smallcap
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,NSE,EQ,,Hospital,nifty50|nifty100|nifty500|largecap
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,NSE,EQ,,Tyres & Rubber Products,nifty500|niftymidcap150|midcap
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,NSE,EQ,,Housing Finance Company,nifty500|niftysmallcap250|midcap
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,NSE,EQ,,Auto Components & Equipments,nifty500|niftysmallcap250|midcap
ARVIND,Arvind Limited,INE034A01011,NSE,EQ,,Garments & Apparels,niftymicrocap250|smallcap
ARVINDFASN,Arvind Fashions Limited,INE955V01021,NSE,EQ,,Speciality Retail,niftymicrocap250|smallcap
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,NSE,EQ,,Auto Components & Equipments,nifty500|niftysmallcap250|midcap
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,NSE,EQ,,Industrial Minerals,niftymicrocap250|smallcap
ASHOKA,Ashoka Buildcon Limited,INE442H01029,NSE,EQ,,Civil Construction,niftymicrocap250|smallcap
ASHOKLEY,Ashok Leyland Limited,INE208A01029,NSE,EQ,,Commercial Vehicles,nifty500|niftymidcap150|midcap
ASIANPAINT,Asian Paints Limited,INE021A01026,NSE,EQ,,Paints,nifty50|nifty100|nifty500|largecap
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,NSE,EQ,,Auto Components & Equipments,niftymicrocap250|smallcap
ASTERDM,Aster DM Healthcare Limited,INE914M01019,NSE,EQ,,Hospital,nifty500|niftysmallcap250|midcap
ASTRAL,Astral Limited,INE006I01046,NSE,EQ,,Plastic Products - Industrial,nifty500|niftymidcap150|midcap
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,NSE,EQ,,Aerospace & Defense,niftymicrocap250|smallcap
ATGL,Adani Total Gas Limited,INE399L01023,NSE,EQ,,LPG/CNG/PNG/LNG Supplier,nifty500|niftymidcap150|midcap
ATHERENERG,Ather Energy Limited,INE0LEZ01016,NSE,EQ,,2/3 Wheelers,nifty500|niftysmallcap250|midcap
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,NSE,EQ,,Heavy Electrical Equipment,niftymicrocap250|smallcap
ATUL,Atul Limited,INE100A01010,NSE,EQ,,Specialty Chemicals,nifty500|niftysmallcap250|midcap
AUBANK,AU Small Finance Bank Limited,INE949L01017,NSE,EQ,,Other Bank,nifty500|niftymidcap150|midcap
